Designator,Mid X,Mid Y,Rotation,Layer
SW40,212.875,-64.4625,180.0,bottom
SW41,231.925,-64.4625,180.0,bottom
SW42,250.975,-64.4625,180.0,bottom
SW43,274.7875,-64.4625,180.0,bottom
SW44,303.3625,-64.4625,180.0,bottom
SW45,19.99375,-83.5125,180.0,bottom
SW46,46.1875,-83.5125,180.0,bottom
SW47,65.2375,-83.5125,180.0,bottom
SW48,84.2875,-83.5125,180.0,bottom
SW49,103.3375,-83.5125,180.0,bottom
SW5,108.1,-21.6,180.0,bottom
SW50,122.3875,-83.5125,180.0,bottom
SW51,141.4375,-83.5125,180.0,bottom
SW52,160.4875,-83.5125,180.0,bottom
SW53,179.5375,-83.5125,180.0,bottom
SW54,198.5875,-83.5125,180.0,bottom
SW55,217.6375,-83.5125,180.0,bottom
SW56,236.6875,-83.5125,180.0,bottom
SW57,267.64375,-83.5125,180.0,bottom
SW58,303.3625,-83.5125,180.0,bottom
SW59,24.75625,-102.5625,180.0,bottom
SW6,136.675,-21.6,180.0,bottom
SW60,55.7125,-102.5625,180.0,bottom
SW61,74.7625,-102.5625,180.0,bottom
SW62,93.8125,-102.5625,180.0,bottom
SW63,112.8625,-102.5625,180.0,bottom
SW64,131.9125,-102.5625,180.0,bottom
SW65,150.9625,-102.5625,180.0,bottom
SW66,170.0125,-102.5625,180.0,bottom
SW67,189.0625,-102.5625,180.0,bottom
SW68,208.1125,-102.5625,180.0,bottom
SW69,227.1625,-102.5625,180.0,bottom
SW7,155.725,-21.6,180.0,bottom
SW70,253.35625,-102.5625,180.0,bottom
SW71,284.3125,-107.325,180.0,bottom
SW72,12.85,-121.6125,180.0,bottom
SW73,31.9,-121.6125,180.0,bottom
SW74,50.95,-121.6125,180.0,bottom
SW75,70.0,-121.6125,180.0,bottom
SW76,136.675,-121.6125,180.0,bottom
SW77,203.35,-121.6125,180.0,bottom
SW78,222.4,-121.6125,180.0,bottom
SW79,241.45,-121.6125,180.0,bottom
SW8,174.775,-21.6,180.0,bottom
SW80,265.2625,-126.375,180.0,bottom
SW81,284.3125,-126.375,180.0,bottom
SW82,303.3625,-126.375,180.0,bottom
SW83,334.872669,-44.959735,180.0,bottom
SW84,353.922669,-44.959735,180.0,bottom
SW85,372.972669,-44.959735,180.0,bottom
SW86,392.022669,-44.959735,180.0,bottom
SW87,334.872669,-64.009735,180.0,bottom
SW88,353.922669,-64.009735,180.0,bottom
