Designator,Mid X,Mid Y,Rotation,Layer
SW23,163.631035,-43.04445,180.0,bottom
SW24,182.681035,-43.04445,180.0,bottom
SW25,201.731035,-43.04445,180.0,bottom
SW26,220.781035,-43.04445,180.0,bottom
SW27,239.831035,-43.04445,180.0,bottom
SW28,269.041035,-44.54255,180.0,bottom
SW29,301.743535,-43.04445,180.0,bottom
SW3,68.381035,-19.23195,180.0,bottom
SW30,15.993535,-62.09445,180.0,bottom
SW31,39.806035,-62.09445,180.0,bottom
SW32,58.856035,-62.09445,180.0,bottom
SW33,77.906035,-62.09445,180.0,bottom
SW34,96.956035,-62.09445,180.0,bottom
SW35,116.006035,-62.09445,180.0,bottom
SW36,135.056035,-62.09445,180.0,bottom
SW37,154.106035,-62.09445,180.0,bottom
SW38,173.156035,-62.09445,180.0,bottom
SW39,192.206035,-62.09445,180.0,bottom
SW4,87.431035,-19.23195,180.0,bottom
SW40,211.256035,-62.09445,180.0,bottom
SW41,230.306035,-62.09445,180.0,bottom
SW42,249.356035,-62.09445,180.0,bottom
SW43,273.168535,-62.09445,180.0,bottom
SW44,301.743535,-62.09445,180.0,bottom
SW45,18.374785,-81.14445,180.0,bottom
SW46,44.568535,-81.14445,180.0,bottom
SW47,63.618535,-81.14445,180.0,bottom
SW48,82.668535,-81.14445,180.0,bottom
SW49,101.718535,-81.14445,180.0,bottom
SW5,106.481035,-19.23195,180.0,bottom
SW50,120.768535,-81.14445,180.0,bottom
SW51,139.818535,-81.14445,180.0,bottom
SW52,158.868535,-81.14445,180.0,bottom
SW53,177.918535,-81.14445,180.0,bottom
SW54,196.968535,-81.14445,180.0,bottom
SW55,216.018535,-81.14445,180.0,bottom
SW56,235.068535,-81.14445,180.0,bottom
SW57,266.659785,-82.64255,180.0,bottom
SW58,301.743535,-81.14445,180.0,bottom
SW59,23.772285,-101.69255,180.0,bottom
SW6,135.056035,-19.23195,180.0,bottom
SW60,54.093535,-100.19445,180.0,bottom
SW61,73.143535,-100.19445,180.0,bottom
SW62,92.193535,-100.19445,180.0,bottom
SW63,111.243535,-100.19445,180.0,bottom
SW64,130.293535,-100.19445,180.0,bottom
SW65,149.343535,-100.19445,180.0,bottom
SW66,168.393535,-100.19445,180.0,bottom
SW67,187.443535,-100.19445,180.0,bottom
SW68,206.493535,-100.19445,180.0,bottom
SW69,225.543535,-100.19445,180.0,bottom
SW7,154.106035,-19.23195,180.0,bottom
SW70,251.737285,-100.19445,180.0,bottom
SW71,282.693535,-104.95695,180.0,bottom
SW72,11.231035,-119.24445,180.0,bottom
SW73,30.281035,-119.24445,180.0,bottom
SW74,49.331035,-119.24445,180.0,bottom
SW75,68.381035,-119.24445,180.0,bottom
SW76,135.691035,-120.74255,180.0,bottom
SW77,201.731035,-119.24445,180.0,bottom
SW78,220.781035,-119.24445,180.0,bottom
SW79,239.831035,-119.24445,180.0,bottom
SW8,173.156035,-19.23195,180.0,bottom
SW80,263.643535,-124.00695,180.0,bottom
SW81,282.693535,-124.00695,180.0,bottom
SW82,301.743535,-124.00695,180.0,bottom
SW83,337.485,-41.13195,180.0,bottom
SW84,356.535,-41.13195,180.0,bottom
SW85,375.585,-41.13195,180.0,bottom
SW86,394.635,-41.13195,180.0,bottom
SW87,337.485,-60.18195,180.0,bottom
SW88,356.535,-60.18195,180.0,bottom
SW89,375.585,-60.18195,180.0,bottom
SW9,192.206035,-19.23195,180.0,bottom
SW90,396.07695,-72.075,180.0,bottom
SW91,337.485,-79.23195,180.0,bottom
SW92,356.535,-79.23195,180.0,bottom
SW93,375.585,-79.23195,180.0,bottom
SW94,337.485,-98.28195,180.0,bottom
SW95,356.535,-98.28195,180.0,bottom
SW96,375.585,-98.28195,180.0,bottom
SW97,396.07695,-110.175,180.0,bottom
SW98,347.645,-118.83005,180.0,bottom
SW99,375.585,-117.33195,180.0,bottom
U1,2.25,-14.75,90.0,bottom
U2,43.36,-7.88,270.0,top
U3,31.0,-18.0,0.0,top
U4,16.3625,-5.55,0.0,bottom
U5,337.6675,-17.4042,0.0,bottom
U6,331.83,-31.75,0.0,top
U7,11.5,-7.25,0.0,bottom
U8,342.75,-31.25,0.0,bottom
